origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Capital,Capital,,0.0000000,,
Capital,Bella Vista,3607.4880025,201850.5849473,15030.3476304,220488.4205802
Capital,Departartamento Beron de Astrada,3607.4880025,173999.2620562,6694.4310392,184301.1810979
Capital,Departamento concepcion,3607.4880025,153398.9312448,2051.5111523,159057.9303995
Capital,Curuzu Cuatia,3607.4880025,412071.1758976,3643.2733238,419321.9372239
Capital,Empedrado,3607.4880025,65527.5386005,5189.5280649,74324.5546678
Capital,Esquina,3607.4880025,494673.8619670,4349.8987111,502631.2486806
Capital,General Alvear,3607.4880025,643167.7243180,7655.6721382,654430.8844587
Capital,General Paz,3607.4880025,126629.5826110,6015.2852591,136252.3558725
Capital,Goya,3607.4880025,262901.0376284,1494.5167008,268003.0423316
Capital,Itati,3607.4880025,73596.9363324,4472.0653505,81676.4896854
Capital,Ituzaingo,3607.4880025,773635.6758111,24557.9510498,801801.1148634
Capital,Lavalle,3607.4880025,247787.5750769,1678.7503915,253073.8134709
Capital,Mburucuya,3607.4880025,101277.2885980,3592.2605237,108477.0371241
Capital,Mercedes,3607.4880025,101277.2885980,3592.2605237,108477.0371241
Capital,Monte Caseros,3607.4880025,470985.4438163,6807.9618565,481400.8936753
Capital,Paso de los Libres,3607.4880025,503959.8237044,6472.8507322,514040.1624391
Capital,Saladas,3607.4880025,125618.5895039,9751.5790731,138977.6565794
Capital,San Cosme,3607.4880025,47735.9153819,6100.8763047,57444.2796891
Capital,San Luis del Palmar,3607.4880025,24538.6099424,8312.4536459,36458.5515908
Capital,San Martin,3607.4880025,572951.9215298,10757.3035760,587316.7131083
Capital,San Miguel,3607.4880025,151763.1111569,10516.2065832,165886.8057425
Capital,San Roque,3607.4880025,212443.4678386,1050.3210138,217101.2768548
Capital,Santo Tome,3607.4880025,827289.6539666,5968.9673074,836866.1092765
Capital,Sauce,3607.4880025,411453.4726485,3541.5156726,418602.4763235
Bella Vista,Capital,15030.3476304,201850.5849473,3607.4880025,220488.4205802
Bella Vista,Bella Vista,15030.3476304,0.0000000,3607.4880025,220488.4205802
Bella Vista,Departartamento Beron de Astrada,15030.3476304,243503.9648007,6694.4310392,265228.7434703
Bella Vista,Departamento concepcion,15030.3476304,168549.0822695,2051.5111523,185630.9410521
Bella Vista,Curuzu Cuatia,15030.3476304,239770.5948884,3643.2733238,258444.2158426
Bella Vista,Empedrado,15030.3476304,167161.3552928,5189.5280649,187381.2309881
Bella Vista,Esquina,15030.3476304,322373.2809578,4349.8987111,341753.5272993
Bella Vista,General Alvear,15030.3476304,470867.1433088,7655.6721382,493553.1630774
Bella Vista,General Paz,15030.3476304,196134.2853554,6015.2852591,217179.9182449
Bella Vista,Goya,15030.3476304,61050.4526810,1494.5167008,77575.3170122
Bella Vista,Itati,15030.3476304,226370.3013949,4472.0653505,245872.7143758
Bella Vista,Ituzaingo,15030.3476304,601335.0948019,24557.9510498,640923.3934821
Bella Vista,Lavalle,15030.3476304,45936.9901296,1678.7503915,62646.0881515
Bella Vista,Mburucuya,15030.3476304,116427.4396226,3592.2605237,135050.0477767
Bella Vista,Mercedes,15030.3476304,116427.4396226,3592.2605237,135050.0477767
Bella Vista,Monte Caseros,15030.3476304,298684.8628071,6807.9618565,320523.1722941
Bella Vista,Paso de los Libres,15030.3476304,331659.2426952,6472.8507322,353162.4410578
Bella Vista,Saladas,15030.3476304,76231.9954435,9751.5790731,101013.9221469
Bella Vista,San Cosme,15030.3476304,200509.2804444,6100.8763047,221640.5043795
Bella Vista,San Luis del Palmar,15030.3476304,177311.9750049,8312.4536459,200654.7762812
Bella Vista,San Martin,15030.3476304,400651.3405206,10757.3035760,426438.9917271
Bella Vista,San Miguel,15030.3476304,221267.8139013,10516.2065832,246814.3681149
Bella Vista,San Roque,15030.3476304,40142.8868294,1050.3210138,56223.5554735
Bella Vista,Santo Tome,15030.3476304,654989.0729574,5968.9673074,675988.3878953
Bella Vista,Sauce,15030.3476304,239152.8916393,3541.5156726,257724.7549423
Departartamento Beron de Astrada,Capital,6694.4310392,173999.2620562,3607.4880025,184301.1810979
Departartamento Beron de Astrada,Bella Vista,6694.4310392,243503.9648007,15030.3476304,265228.7434703
Departartamento Beron de Astrada,Departartamento Beron de Astrada,6694.4310392,0.0000000,15030.3476304,265228.7434703
Departartamento Beron de Astrada,Departamento concepcion,6694.4310392,156863.7588057,2051.5111523,165609.7009971
Departartamento Beron de Astrada,Curuzu Cuatia,6694.4310392,453724.5557509,3643.2733238,464062.2601139
Departartamento Beron de Astrada,Empedrado,6694.4310392,166622.1029474,5189.5280649,178506.0620515
Departartamento Beron de Astrada,Esquina,6694.4310392,536327.2418204,4349.8987111,547371.5715707
Departartamento Beron de Astrada,General Alvear,6694.4310392,684821.1041713,7655.6721382,699171.2073487
Departartamento Beron de Astrada,General Paz,6694.4310392,47369.6794452,6015.2852591,60079.3957435
Departartamento Beron de Astrada,Goya,6694.4310392,304554.4174817,1494.5167008,312743.3652217
Departartamento Beron de Astrada,Itati,6694.4310392,198518.9785038,4472.0653505,209685.4748935
Departartamento Beron de Astrada,Ituzaingo,6694.4310392,815289.0556644,24557.9510498,846541.4377535
Departartamento Beron de Astrada,Lavalle,6694.4310392,289440.9549302,1678.7503915,297814.1363609
Departartamento Beron de Astrada,Mburucuya,6694.4310392,127076.5251780,3592.2605237,137363.2167409
Departartamento Beron de Astrada,Mercedes,6694.4310392,127076.5251780,3592.2605237,137363.2167409
Departartamento Beron de Astrada,Monte Caseros,6694.4310392,512638.8236697,6807.9618565,526141.2165654
Departartamento Beron de Astrada,Paso de los Libres,6694.4310392,545613.2035577,6472.8507322,558780.4853291
Departartamento Beron de Astrada,Saladas,6694.4310392,167271.9693572,9751.5790731,183717.9794695
Departartamento Beron de Astrada,San Cosme,6694.4310392,172657.9575533,6100.8763047,185453.2648972
Departartamento Beron de Astrada,San Luis del Palmar,6694.4310392,149460.6521138,8312.4536459,164467.5367989
Departartamento Beron de Astrada,San Martin,6694.4310392,614605.3013832,10757.3035760,632057.0359984
Departartamento Beron de Astrada,San Miguel,6694.4310392,72503.2079911,10516.2065832,89713.8456135
Departartamento Beron de Astrada,San Roque,6694.4310392,254096.8476919,1050.3210138,261841.5997449
Departartamento Beron de Astrada,Santo Tome,6694.4310392,868943.0338200,5968.9673074,881606.4321666
Departartamento Beron de Astrada,Sauce,6694.4310392,453106.8525018,3541.5156726,463342.7992136
Departamento concepcion,Capital,2051.5111523,153398.9312448,3607.4880025,159057.9303995
Departamento concepcion,Bella Vista,2051.5111523,168549.0822695,15030.3476304,185630.9410521
Departamento concepcion,Departartamento Beron de Astrada,2051.5111523,156863.7588057,6694.4310392,165609.7009971
Departamento concepcion,Departamento concepcion,2051.5111523,0.0000000,6694.4310392,165609.7009971
Departamento concepcion,Curuzu Cuatia,2051.5111523,378769.6732197,3643.2733238,384464.4576958
Departamento concepcion,Empedrado,2051.5111523,118709.7015903,5189.5280649,125950.7408074
Departamento concepcion,Esquina,2051.5111523,461372.3592892,4349.8987111,467773.7691525
Departamento concepcion,General Alvear,2051.5111523,609866.2216401,7655.6721382,619573.4049306
Departamento concepcion,General Paz,2051.5111523,109494.0793605,6015.2852591,117560.8757718
Departamento concepcion,Goya,2051.5111523,229599.5349505,1494.5167008,233145.5628036
Departamento concepcion,Itati,2051.5111523,177918.6476924,4472.0653505,184442.2241951
Departamento concepcion,Ituzaingo,2051.5111523,740334.1731332,24557.9510498,766943.6353353
Departamento concepcion,Lavalle,2051.5111523,214486.0723990,1678.7503915,218216.3339428
Departamento concepcion,Mburucuya,2051.5111523,52121.6426468,3592.2605237,57765.4143227
Departamento concepcion,Mercedes,2051.5111523,52121.6426468,3592.2605237,57765.4143227
Departamento concepcion,Monte Caseros,2051.5111523,437683.9411385,6807.9618565,446543.4141473
Departamento concepcion,Paso de los Libres,2051.5111523,470658.3210265,6472.8507322,479182.6829110
Departamento concepcion,Saladas,2051.5111523,92317.0868260,9751.5790731,104120.1770514
Departamento concepcion,San Cosme,2051.5111523,152057.6267419,6100.8763047,160210.0141989
Departamento concepcion,San Luis del Palmar,2051.5111523,128860.3213024,8312.4536459,139224.2861005
Departamento concepcion,San Martin,2051.5111523,539650.4188520,10757.3035760,552459.2335803
Departamento concepcion,San Miguel,2051.5111523,134627.6079064,10516.2065832,147195.3256418
Departamento concepcion,San Roque,2051.5111523,179141.9651607,1050.3210138,182243.7973267
Departamento concepcion,Santo Tome,2051.5111523,793988.1512888,5968.9673074,802008.6297485
Departamento concepcion,Sauce,2051.5111523,378151.9699706,3541.5156726,383744.9967955
Curuzu Cuatia,Capital,3643.2733238,412071.1758976,3607.4880025,419321.9372239
Curuzu Cuatia,Bella Vista,3643.2733238,239770.5948884,15030.3476304,258444.2158426
Curuzu Cuatia,Departartamento Beron de Astrada,3643.2733238,453724.5557509,6694.4310392,464062.2601139
Curuzu Cuatia,Departamento concepcion,3643.2733238,378769.6732197,2051.5111523,384464.4576958
Curuzu Cuatia,Curuzu Cuatia,3643.2733238,0.0000000,2051.5111523,384464.4576958
Curuzu Cuatia,Empedrado,3643.2733238,377381.9462431,5189.5280649,386214.7476318
Curuzu Cuatia,Esquina,3643.2733238,163261.3286983,4349.8987111,171254.5007332
Curuzu Cuatia,General Alvear,3643.2733238,231096.5484204,7655.6721382,242395.4938825
Curuzu Cuatia,General Paz,3643.2733238,406354.8763057,6015.2852591,416013.4348886
Curuzu Cuatia,Goya,3643.2733238,300821.0475694,1494.5167008,305958.8375940
Curuzu Cuatia,Itati,3643.2733238,436590.8923452,4472.0653505,444706.2310195
Curuzu Cuatia,Ituzaingo,3643.2733238,361564.4999135,24557.9510498,389765.7242872
Curuzu Cuatia,Lavalle,3643.2733238,285707.5850179,1678.7503915,291029.6087333
Curuzu Cuatia,Mburucuya,3643.2733238,326648.0305729,3592.2605237,333883.5644204
Curuzu Cuatia,Mercedes,3643.2733238,326648.0305729,3592.2605237,333883.5644204
Curuzu Cuatia,Monte Caseros,3643.2733238,58914.2679188,6807.9618565,69365.5030991
Curuzu Cuatia,Paso de los Libres,3643.2733238,91888.6478068,6472.8507322,102004.7718629
Curuzu Cuatia,Saladas,3643.2733238,286452.5863937,9751.5790731,299847.4387906
Curuzu Cuatia,San Cosme,3643.2733238,410729.8713947,6100.8763047,420474.0210232
Curuzu Cuatia,San Luis del Palmar,3643.2733238,387532.5659552,8312.4536459,399488.2929249
Curuzu Cuatia,San Martin,3643.2733238,160880.7456323,10757.3035760,175281.3225321
Curuzu Cuatia,San Miguel,3643.2733238,431488.4048516,10516.2065832,445647.8847586
Curuzu Cuatia,San Roque,3643.2733238,199627.7080590,1050.3210138,204321.3023966
Curuzu Cuatia,Santo Tome,3643.2733238,415218.4780691,5968.9673074,424830.7187003
Curuzu Cuatia,Sauce,3643.2733238,80040.9393798,3541.5156726,87225.7283762
Empedrado,Capital,5189.5280649,65527.5386005,3607.4880025,74324.5546678
Empedrado,Bella Vista,5189.5280649,167161.3552928,15030.3476304,187381.2309881
Empedrado,Departartamento Beron de Astrada,5189.5280649,166622.1029474,6694.4310392,178506.0620515
Empedrado,Departamento concepcion,5189.5280649,118709.7015903,2051.5111523,125950.7408074
Empedrado,Curuzu Cuatia,5189.5280649,377381.9462431,3643.2733238,386214.7476318
Empedrado,Empedrado,5189.5280649,0.0000000,3643.2733238,386214.7476318
Empedrado,Esquina,5189.5280649,459984.6323125,4349.8987111,469524.0590885
Empedrado,General Alvear,5189.5280649,608478.4946635,7655.6721382,621323.6948666
Empedrado,General Paz,5189.5280649,119252.4235022,6015.2852591,130457.2368261
Empedrado,Goya,5189.5280649,228211.8079738,1494.5167008,234895.8527395
Empedrado,Itati,5189.5280649,101831.1129792,4472.0653505,111492.7063945
Empedrado,Ituzaingo,5189.5280649,738946.4461566,24557.9510498,768693.9252713
Empedrado,Lavalle,5189.5280649,213098.3454224,1678.7503915,219966.6238788
Empedrado,Mburucuya,5189.5280649,66588.0589434,3592.2605237,75369.8475320
Empedrado,Mercedes,5189.5280649,66588.0589434,3592.2605237,75369.8475320
Empedrado,Monte Caseros,5189.5280649,436296.2141618,6807.9618565,448293.7040832
Empedrado,Paso de los Libres,5189.5280649,469270.5940499,6472.8507322,480932.9728469
Empedrado,Saladas,5189.5280649,90929.3598493,9751.5790731,105870.4669873
Empedrado,San Cosme,5189.5280649,75970.0920287,6100.8763047,87260.4963982
Empedrado,San Luis del Palmar,5189.5280649,52772.7865892,8312.4536459,66274.7682999
Empedrado,San Martin,5189.5280649,538262.6918753,10757.3035760,554209.5235162
Empedrado,San Miguel,5189.5280649,144385.9520481,10516.2065832,160091.6866961
Empedrado,San Roque,5189.5280649,177754.2381841,1050.3210138,183994.0872627
Empedrado,Santo Tome,5189.5280649,792600.4243121,5968.9673074,803758.9196844
Empedrado,Sauce,5189.5280649,376764.2429940,3541.5156726,385495.2867314
Esquina,Capital,4349.8987111,494673.8619670,3607.4880025,502631.2486806
Esquina,Bella Vista,4349.8987111,322373.2809578,15030.3476304,341753.5272993
Esquina,Departartamento Beron de Astrada,4349.8987111,536327.2418204,6694.4310392,547371.5715707
Esquina,Departamento concepcion,4349.8987111,461372.3592892,2051.5111523,467773.7691525
Esquina,Curuzu Cuatia,4349.8987111,163261.3286983,3643.2733238,171254.5007332
Esquina,Empedrado,4349.8987111,459984.6323125,5189.5280649,469524.0590885
Esquina,Esquina,4349.8987111,0.0000000,5189.5280649,469524.0590885
Esquina,General Alvear,4349.8987111,394357.8771187,7655.6721382,406363.4479680
Esquina,General Paz,4349.8987111,488957.5623751,6015.2852591,499322.7463453
Esquina,Goya,4349.8987111,383423.7336389,1494.5167008,389268.1490507
Esquina,Itati,4349.8987111,519193.5784146,4472.0653505,528015.5424762
Esquina,Ituzaingo,4349.8987111,524825.8286118,24557.9510498,553733.6783727
Esquina,Lavalle,4349.8987111,368310.2710874,1678.7503915,374338.9201900
Esquina,Mburucuya,4349.8987111,409250.7166424,3592.2605237,417192.8758771
Esquina,Mercedes,4349.8987111,409250.7166424,3592.2605237,417192.8758771
Esquina,Monte Caseros,4349.8987111,222175.5966170,6807.9618565,233333.4571847
Esquina,Paso de los Libres,4349.8987111,255149.9765051,6472.8507322,265972.7259484
Esquina,Saladas,4349.8987111,369055.2724632,9751.5790731,383156.7502473
Esquina,San Cosme,4349.8987111,493332.5574641,6100.8763047,503783.3324799
Esquina,San Luis del Palmar,4349.8987111,470135.2520246,8312.4536459,482797.6043816
Esquina,San Martin,4349.8987111,324142.0743306,10757.3035760,339249.2766177
Esquina,San Miguel,4349.8987111,514091.0909210,10516.2065832,528957.1962153
Esquina,San Roque,4349.8987111,282230.3941285,1050.3210138,287630.6138533
Esquina,Santo Tome,4349.8987111,578479.8067674,5968.9673074,588798.6727859
Esquina,Sauce,4349.8987111,83220.3893185,3541.5156726,91111.8037022
General Alvear,Capital,7655.6721382,643167.7243180,3607.4880025,654430.8844587
General Alvear,Bella Vista,7655.6721382,470867.1433088,15030.3476304,493553.1630774
General Alvear,Departartamento Beron de Astrada,7655.6721382,684821.1041713,6694.4310392,699171.2073487
General Alvear,Departamento concepcion,7655.6721382,609866.2216401,2051.5111523,619573.4049306
General Alvear,Curuzu Cuatia,7655.6721382,231096.5484204,3643.2733238,242395.4938825
General Alvear,Empedrado,7655.6721382,608478.4946635,5189.5280649,621323.6948666
General Alvear,Esquina,7655.6721382,394357.8771187,4349.8987111,406363.4479680
General Alvear,General Alvear,7655.6721382,0.0000000,4349.8987111,406363.4479680
General Alvear,General Paz,7655.6721382,637451.4247261,6015.2852591,651122.3821234
General Alvear,Goya,7655.6721382,531917.5959898,1494.5167008,541067.7848288
General Alvear,Itati,7655.6721382,667687.4407656,4472.0653505,679815.1782543
General Alvear,Ituzaingo,7655.6721382,182337.5285373,24557.9510498,214551.1517254
General Alvear,Lavalle,7655.6721382,516804.1334383,1678.7503915,526138.5559681
General Alvear,Mburucuya,7655.6721382,557744.5789933,3592.2605237,568992.5116552
General Alvear,Mercedes,7655.6721382,557744.5789933,3592.2605237,568992.5116552
